FFT Bin,Power,Phase
0,0.250144,1.413406
1,0.250143,1.098624
2,0.250141,0.783846
3,0.250138,0.469074
4,0.250133,0.154311
5,0.250128,-0.160442
6,0.250122,-0.475181
7,0.250115,-0.789905
8,0.250106,-1.104611
9,0.250097,-1.419297
10,0.250087,-1.733961
11,0.250076,-2.048601
12,0.250064,-2.363216
13,0.250052,-2.677802
14,0.250038,-2.99236
15,0.250024,2.976299
16,0.250009,2.661805
17,0.249994,2.347345
18,0.249978,2.032919
19,0.249961,1.71853
20,0.249944,1.404177
21,0.249926,1.089862
22,0.249908,0.775585
23,0.24989,0.461346
24,0.249872,0.147147
25,0.249854,-0.167013
26,0.249835,-0.481134
27,0.249816,-0.795215
28,0.249798,-1.109258
29,0.24978,-1.423263
30,0.249762,-1.73723
31,0.249744,-2.05116
32,0.249727,-2.365054
33,0.24971,-2.678913
34,0.249694,-2.992738
35,0.249678,2.976655
36,0.249663,2.662894
37,0.249649,2.349162
38,0.249635,2.035458
39,0.249623,1.72178
40,0.249611,1.408126
41,0.2496,1.094494
42,0.249591,0.780882
43,0.249582,0.467288
44,0.249575,0.15371
45,0.249569,-0.159855
46,0.249564,-0.473409
47,0.24956,-0.786954
48,0.249558,-1.100493
49,0.249556,-1.414029
50,0.249556,-1.727563
51,0.249557,-2.041098
52,0.24956,-2.354637
53,0.249564,-2.668183
54,0.249569,-2.981736
55,0.249575,2.987884
56,0.249582,2.674306
57,0.249591,2.360712
58,0.2496,2.0471
59,0.249611,1.733468
60,0.249622,1.419814
61,0.249635,1.106136
62,0.249648,0.792432
63,0.249662,0.4787
64,0.249677,0.164939
65,0.249693,-0.148854
66,0.249709,-0.462679
67,0.249726,-0.776538
68,0.249743,-1.090432
69,0.249761,-1.404362
70,0.249779,-1.718328
71,0.249797,-2.032333
72,0.249816,-2.346376
73,0.249834,-2.660458
74,0.249853,-2.974579
75,0.249871,2.994447
76,0.24989,2.680248
77,0.249908,2.366009
78,0.249926,2.051732
79,0.249943,1.737417
80,0.24996,1.423064
81,0.249977,1.108675
82,0.249993,0.794249
83,0.250008,0.479789
84,0.250023,0.165295
85,0.250038,-0.149232
86,0.250051,-0.463789
87,0.250064,-0.778376
88,0.250076,-1.09299
89,0.250087,-1.40763
90,0.250097,-1.722294
91,0.250106,-2.036981
92,0.250114,-2.351687
93,0.250122,-2.66641
94,0.250128,-2.98115
95,0.250133,2.987283
96,0.250137,2.67252
97,0.250141,2.357748
98,0.250143,2.04297
99,0.250144,1.728188
